trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
439,False,"{'a': 0.002, 'e': 0.6402289942906106}",20,0,-58.67328187085159,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
440,False,"{'a': 0.002, 'e': 0.6386913466268629}",20,8,-14.387646455273574,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
441,False,"{'a': 0.002, 'e': 0.6371511441985802}",30,18,12.467773789875501,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.002, 'e': 0.6356083931665703}",20,2,-120.60664120771507,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 3}",1
443,False,"{'a': 0.002, 'e': 0.6340630997018352}",25,0,-85.38834874799936,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
444,False,"{'a': 0.002, 'e': 0.6325152699855466}",25,0,-62.38237721996065,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
445,False,"{'a': 0.002, 'e': 0.6309649102090216}",25,13,7.704976993465234,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
446,False,"{'a': 0.002, 'e': 0.6294120265736969}",25,13,-9.70869126050196,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
447,False,"{'a': 0.002, 'e': 0.6278566252911051}",20,8,-1.510310419614872,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
448,False,"{'a': 0.002, 'e': 0.6262987125828494}",25,0,-75.26377402707638,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
449,False,"{'a': 0.002, 'e': 0.6247382946805784}",35,22,-54.9610076339675,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
450,False,"{'a': 0.002, 'e': 0.6231753778259617}",20,15,8.458849952815813,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.002, 'e': 0.6216099682706644}",20,0,-96.74844668502833,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
452,False,"{'a': 0.002, 'e': 0.620042072276323}",20,0,-138.55318297181097,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
453,False,"{'a': 0.002, 'e': 0.6184716961145192}",30,16,-58.864345646785516,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
454,False,"{'a': 0.002, 'e': 0.6168988460667556}",20,13,-19.663284865766034,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
455,False,"{'a': 0.002, 'e': 0.6153235284244302}",20,0,-89.43093816010999,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
456,False,"{'a': 0.002, 'e': 0.6137457494888116}",25,6,2.9249370485749777,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
457,False,"{'a': 0.002, 'e': 0.6121655155710133}",20,0,-32.65821197116818,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
458,False,"{'a': 0.002, 'e': 0.6105828329919689}",25,0,-11.558192799576622,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
459,False,"{'a': 0.002, 'e': 0.6089977080824067}",25,2,-49.992206416534884,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 0}",1
460,False,"{'a': 0.002, 'e': 0.6074101471828242}",25,12,-9.4957017464204,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
461,False,"{'a': 0.002, 'e': 0.6058201566434628}",30,17,-11.015615196073513,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
462,False,"{'a': 0.002, 'e': 0.6042277428242826}",25,0,-62.460171865409954,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
463,False,"{'a': 0.002, 'e': 0.6026329120949367}",20,7,-7.6190627627770375,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
464,False,"{'a': 0.002, 'e': 0.6010356708347461}",25,0,-114.6119505406282,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
465,False,"{'a': 0.002, 'e': 0.5994360254326734}",25,13,-4.0223956012458935,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
466,False,"{'a': 0.002, 'e': 0.5978339822872982}",25,0,-83.41182181476796,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
467,False,"{'a': 0.002, 'e': 0.596229547806791}",25,12,-52.759796680975,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
468,False,"{'a': 0.002, 'e': 0.5946227284088875}",30,0,-128.09877718378948,"{0: 15, 1: 8, 2: 6, 3: 0, 4: 1}",0
469,False,"{'a': 0.002, 'e': 0.5930135305208633}",20,13,-11.31745915646843,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
470,False,"{'a': 0.002, 'e': 0.5914019605795077}",35,17,-63.68550343244629,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
471,False,"{'a': 0.002, 'e': 0.5897880250310982}",20,0,8.401313971451431,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
472,False,"{'a': 0.002, 'e': 0.588171730331375}",25,3,-10.90823163768303,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
473,False,"{'a': 0.002, 'e': 0.5865530829455147}",25,11,-38.88281591780572,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
474,False,"{'a': 0.002, 'e': 0.5849320893481047}",25,0,-108.4204519938814,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
475,False,"{'a': 0.002, 'e': 0.5833087560231173}",30,15,-46.67215714952884,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
476,False,"{'a': 0.002, 'e': 0.5816830894638835}",20,12,10.001660408662488,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.002, 'e': 0.5800550961730674}",30,20,-51.89332686564547,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 1}",1
478,False,"{'a': 0.002, 'e': 0.57842478266264}",20,4,-1.223483445509844,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
479,False,"{'a': 0.002, 'e': 0.5767921554538531}",25,12,-21.70540441011786,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
480,False,"{'a': 0.002, 'e': 0.5751572210772136}",20,0,19.747433394624988,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
481,False,"{'a': 0.002, 'e': 0.5735199860724567}",25,6,-65.34771020535912,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 0}",1
482,False,"{'a': 0.002, 'e': 0.5718804569885201}",20,0,-11.593084006242169,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
483,False,"{'a': 0.002, 'e': 0.570238640383518}",25,0,-53.174656312505086,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
484,False,"{'a': 0.002, 'e': 0.5685945428247148}",30,18,-3.3758534486501235,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
485,False,"{'a': 0.002, 'e': 0.5669481708884984}",25,12,-12.455957457018712,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
486,False,"{'a': 0.002, 'e': 0.5652995311603544}",25,0,-98.67535097426396,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
487,False,"{'a': 0.002, 'e': 0.5636486302348394}",20,0,-93.51952324689354,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
488,False,"{'a': 0.002, 'e': 0.561995474715555}",20,13,13.700195671036482,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.002, 'e': 0.5603400712151211}",30,14,-75.48541633328367,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
490,False,"{'a': 0.002, 'e': 0.5586824263551494}",30,7,-29.122294966562784,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
